id;kementerian_nama;kementerian_sktn;kementerian_kluster;created_at;updated_at
1;Agensi Pengurusan Bencana Negara;NADMA;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
2;Angkatan Pertahanan Awam Malaysia;APM;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
3;Bahagian Istiadat dan Urus Setia Persidangan Antarabangsa;BIUPA;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
4;Bahagian Kabinet  Perlembagaan dan Perhubungan Antara Kerajaan;KABINET;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
5;Bahagian Pengurusan Hartanah;BPH;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
6;Bahagian Penyelidikan;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
7;Institut Latihan Kehakiman dan Perundangan;ILKAP;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
8;Istana Negara;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
9;Pejabat Penyimpan Mohor Besar Raja-Raja;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
10;Jabatan Audit Negara;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
11;Jabatan Peguam Negara;AGC;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
12;Jabatan Perkhidmatan Awam;JPA;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
13;Majlis Keselamatan Negara;MKN;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
14;Pejabat Ketua Pegawai Keselamatan Kerajaan Malaysia;CGSO;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
15;Pejabat Urus Setia Bekas Perdana Menteri YB Tun Dr. Mahathir bin Mohamad;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
16;Pejabat Urus Setia Bekas Perdana Menteri YABhg. Tun Abdullah bin Haji Ahmad Badawi;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
17;Pejabat Urus Setia Bekas Perdana Menteri YB Dato Seri Mohd Najib bin Tun Abdul Razak;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
18;Pusat Governans Integriti dan Anti-Rasuah Nasional;GIACC;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
19;Suruhanjaya Integriti Agensi Penguatkuasaan;SIAP;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
20;Suruhanjaya Pencegahan Rasuah Malaysia;SPRM;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
21;Suruhanjaya Perkhidmatan Awam;SPA;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
22;Suruhanjaya Perkhidmatan Pelajaran;SPP;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
23;Suruhanjaya Pilihan Raya;SPR;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
24;Unit Pemodenan Tadbiran dan Perancangan Pengurusan Malaysia;MAMPU;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
25;Unit Penyelarasan Pelaksanaan;ICU;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
26;Urusetia Jawatankuasa Kerja Tanah Wilayah Persekutuan;UJKT;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
27;Unit Transformasi Masyarakat India Malaysia;MITRA;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
28;Agensi Inovasi Malaysia;AIM;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
29;Lembaga Pembangunan Langkawi;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
30;Lembaga Wakaf Hindu Negeri Pulau Pinang;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
31;Suruhanjaya Hak Asasi Manusia;SUHAKAM;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
32;Khazanah Nasional Berhad;Khazanah;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
33;Kumpulan Industri Kerajaan Bagi Teknologi Tinggi Malaysia;MIGHT;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
34;Petroliam Nasional Berhad;PETRONAS;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
35;Permodalan Nasional Berhad;PNB;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
36;Perbadanan Nasional Berhad;PNS;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
37;Perbadanan Usahawan Nasional Berhad;PUNB;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
38;Yayasan Pelaburan Bumiputera;;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
39;Yayasan Bantuan Guaman Kebangsaan;YBGK;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
40;Jawatankuasa Siasatan Tadbir Urus Perolehan dan Kewangan Kerajaan;JKSTUPKK;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
41;Jawatankuasa Khas Untuk Menyemak Semula Undang-undang dan Urusan Perjalanan Pilihan Raya;ERC;jpm;2020-04-08 00:00:00;2020-04-08 00:00:00
42;Pejabat Penasihat Khas kepada Perdana Menteri (Kesihatan Awam);;jpm-ppm;2020-04-08 00:00:00;2020-04-08 00:00:00
43;Pejabat Duta Khas Perdana Menteri ke Timur Tengah;;jpm-ppm;2020-04-08 00:00:00;2020-04-08 00:00:00
44;Kompleks Seri Perdana (Kediaman rasmi Perdana Menteri);;jpm-ppm;2020-04-08 00:00:00;2020-04-08 00:00:00
45;Bangunan Perdana Putra;;jpm-ppm;2020-04-08 00:00:00;2020-04-08 00:00:00
46;Unit Perancang Ekonomi;EPU;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
47;Majlis Tindakan Ekonomi Negara;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
48;Jabatan Perangkaan Malaysia;DOSM;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
49;Lembaga Kemajuan Tanah Persekutuan;FELDA;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
50;Lembaga Penyatuan dan Pemulihan Tanah Persekutuan Berhad;FELCRA;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
51;Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah;RISDA;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
52;Halal Development Corporation;HDC;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
53;Bank Pembangunan Malaysia Berhad;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
54;Amanah Raya Berhad;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
55;Unit Peneraju Agenda Bumiputera;TERAJU;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
56;Ekuiti Nasional Berhad;EKUINAS;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
57;Malaysia Petroleum Resources Corporation Berhad;MPRC;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
58;Johor Petroleum Development Corporation;JPDC;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
59;FELDA Global Ventures Holdings Berhad;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
60;JKP Sdn. Bhd.;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
61;MyHSR Corporation Sdn. Bhd.;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
62;Pelaburan Hartanah Berhad;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
63;Yayasan Amanah Hartanah Bumiputera;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
64;Yayasan Ekuiti Nasional;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
65;Yayasan Peneraju Pendidikan Bumiputera;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
66;Perbadanan Kemajuan Ekonomi Negeri Perlis;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
67;Perbadanan Kemajuan Negeri Kedah;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
68;Penang Development Corporation;PDC;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
69;Perbadanan Kemajuan Negeri Perak;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
70;Perbadanan Kemajuan Iktisad Negeri Kelantan;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
71;Perbadanan Memajukan Iktisad Negeri Terengganu;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
72;Perbadanan Kemajuan Negeri Pahang;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
73;Perbadanan Kemajuan Negeri Selangor;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
74;Perbadanan Kemajuan Negeri,  Negeri Sembilan;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
75;Perbadanan Kemajuan Negeri Melaka;;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
76;Johor Corporation;JCORP;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
77;Sarawak Economic Development Corpration;SEDC;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
78;Sabah Economic Development Corporation;SEDCO;jpm-ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
79;Jabatan Kemajuan Islam Malaysia;JAKIM;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
80;Jabatan Kehakiman Syariah Malaysia;JKSM;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
81;Pejabat Mufti Wilayah Persekutuan;;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
82;Lembaga Tabung Haji;;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
83;Institut Kefahaman Islam Malaysia;IKIM;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
84;Jabatan Wakaf,  Zakat & Haji;JAWHAR;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
85;Jabatan Agama Islam Wilayah Persekutuan;JAWI;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
86;Majlis Agama Islam Wilayah Persekutuan;MAIWP;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
87;Yayasan Dakwah Islamiah Malaysia;YADIM;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
88;Yayasan Pembangunan Ekonomi Islam Malaysia;YaPIEM;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
89;Yayasan Waqaf Malaysia;;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
90;Jabatan Kehakiman Syariah Malaysia Negeri Sabah;;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
91;Jabatan Pendakwaan Syariah Wilayah Persekutuan;;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
92;Mahkamah Syariah Wilayah Persekutuan;;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
93;Al-Hijrah Media Corporation;;jpm-agama;2020-04-08 00:00:00;2020-04-08 00:00:00
94;Bahagian Hal Ehwal Undang-Undang;BHEUU;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
95;Jabatan Insolvensi Malaysia;MdI;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
96;Jabatan Bantuan Guaman;JBG;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
97;Lembaga Penasihat;;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
98;Parlimen Malaysia;;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
99;Pusat Timbangtara Antarabangsa Asia;AIAC;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
100;Urusan Parlimen - Urusan Mesyuarat Dewan Rakyat dan Dewan Negara;;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
101;Suruhanjaya Perkhidmatan Kehakiman dan Perundangan;SPKP;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
102;Pejabat Ketua Pendaftar Mahkamah Persekutuan;;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
103;Bahagian Perlindungan Jabatan Perdana Menteri;;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
104;Suruhanjaya Pelantikan Kehakiman;;jpm-parlimen;2020-04-08 00:00:00;2020-04-08 00:00:00
105;Bahagian Hal Ehwal Sabah dan Sarawak;;jpm-sabahsarawak;2020-04-08 00:00:00;2020-04-08 00:00:00
106;Pejabat Setiausaha Persekutuan Sabah;;jpm-sabahsarawak;2020-04-08 00:00:00;2020-04-08 00:00:00
107;Pejabat Setiausaha Persekutuan Sarawak;;jpm-sabahsarawak;2020-04-08 00:00:00;2020-04-08 00:00:00
108;Kementerian Perdagangan Antarabangsa dan Industri;MITI;ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
109;Kementerian Perdagangan Dalam Negeri dan Hal Ehwal Pengguna;KPDNHEP;ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
110;Kementerian Perusahaan Perladangan dan Komoditi;MPIC;ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
111;Kementerian Kewangan;MOF;ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
112;Kementerian Pembangunan Usahawan dan Koperasi;MEDAC;ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
113;Kementerian Pelancongan, Kesenian dan Kebudayaan;MOTAC;ekonomi;2020-04-08 00:00:00;2020-04-08 00:00:00
114;Kementerian Pertahanan;MINDEF;keselamatan;2020-04-08 00:00:00;2020-04-08 00:00:00
115;Kementerian Luar Negeri;KLN;keselamatan;2020-04-08 00:00:00;2020-04-08 00:00:00
116;Kementerian Perpaduan Negara;;keselamatan;2020-04-08 00:00:00;2020-04-08 00:00:00
117;Kementerian Dalam Negeri;KDN;keselamatan;2020-04-08 00:00:00;2020-04-08 00:00:00
118;Kementerian Pendidikan;MOE;pendidikan-sosial;2020-04-08 00:00:00;2020-04-08 00:00:00
119;Kementerian Kesihatan;MOH;pendidikan-sosial;2020-04-08 00:00:00;2020-04-08 00:00:00
120;Kementerian Sumber Manusia;MOHR;pendidikan-sosial;2020-04-08 00:00:00;2020-04-08 00:00:00
121;Kementerian Komunikasi dan Multimedia;KKMM;pendidikan-sosial;2020-04-08 00:00:00;2020-04-08 00:00:00
122;Kementerian Wanita dan Keluarga;KPWKM;pendidikan-sosial;2020-04-08 00:00:00;2020-04-08 00:00:00
123;Kementerian Pengajian Tinggi;MOHE;pendidikan-sosial;2020-04-08 00:00:00;2020-04-08 00:00:00
124;Kementerian Belia dan Sukan;KBS;pendidikan-sosial;2020-04-08 00:00:00;2020-04-08 00:00:00
125;Kementerian Kerja Raya;KKR;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
126;Kementerian Perumahan dan Kerajaan Tempatan;KPKT;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
127;Kementerian Pengangkutan;MOT;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
128;Kementerian Pembangunan Luar Bandar;KPLB;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
129;Kementerian Wilayah Persekutuan;KWP;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
130;Kementerian Tenaga dan Sumber Asli;KATS;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
131;Kementerian Pertanian dan Industri Makanan;MOA;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
132;Kementerian Sains,  Teknologi dan Inovasi;MOSTI;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
133;Kementerian Alam Sekitar dan Air;DOE;infrastruktur;2020-04-08 00:00:00;2020-04-08 00:00:00
