id;nama_bhgn;sgktn_bhgn;created_at;updated_at
1;Pejabat Ketua Pengarah;KP;2022-06-02;2022-06-02
2;Pejabat Timbalan Ketua Pengarah (SEKTORAL);TKP(Sektoral);2022-06-02;2022-06-02
3;Pejabat Timbalan Ketua Pengarah (MAKRO);TKP(Makro);2022-06-02;2022-06-02
4;Pejabat Timbalan Ketua Pengarah (DASAR);TKP(Dasar);2022-06-02;2022-06-02
5;Pejabat Pengarah Kanan (Pengurusan);PKP;2022-06-02;2022-06-02
6;Bahagian Infrastruktur dan Kemudahan Awam;BINFRA;2022-06-02;2022-06-02
7;Bahagian Pertanian;BTANI;2022-06-02;2022-06-02
8;Bahagian Pengurusan Nilai;BPN;2022-06-02;2022-06-02
9;Bahagian Tenaga;BTENAGA;2022-06-02;2022-06-02
10;Bahagian Keselamatan dan Ketenteraman Awam;BKKA;2022-06-02;2022-06-02
11;Unit Statistik;USTAT;2022-06-02;2022-06-02
12;Bahagian Ekonomi Makro;BEM;2022-06-02;2022-06-02
13;Bahagian Industri Perkhidmatan;BIP;2022-06-02;2022-06-02
14;Bahagian Industri Pembuatan Sains dan Teknologi;BIPST;2022-06-02;2022-06-02
15;Bahagian Bajet Pembangunan;BBP;2022-06-02;2022-06-02
16;Bahagian K-Ekonomi;BKE;2022-06-02;2022-06-02
17;Bahagian Ekonomi Alam Sekitar Dan Sumber Asli;BEASSA;2022-06-02;2022-06-02
18;Bahagian Pembangunan Ekuiti;BPE;2022-06-02;2022-06-02
19;Unit Audit Dalam;UAD;2022-06-02;2022-06-02
20;Bahagian Perkhidmatan Sosial;BPS;2022-06-02;2022-06-02
21;Bahagian Pembangunan Wilayah;BPW;2022-06-02;2022-06-02
22;Bahagian Pembangunan Modal Insan;BPMI;2022-06-02;2022-06-02
23;Bahagian Penyelarasan, Kawalan dan Pemantauan;BPKP;2022-06-02;2022-06-02
24;Bahagian Perancangan Strategik dan Kerjasama Antarabangsa;BPSKA;2022-06-02;2022-06-02
25;Bahagian Khidmat Pengurusan dan Kewangan;BKPK;2022-06-02;2022-06-02
26;Bahagian Sumber Manusia;BSM;2022-06-02;2022-06-02
27;Bahagian Akaun;Akaun;2022-06-02;2022-06-02
28;Bahagian Pengurusan Maklumat;BPM;2022-06-02;2022-06-02
29;Unit Komunikasi Korporat;UKK;2022-06-02;2022-06-02
30;Bahagian Pembangunan;BP;2022-06-02;2022-06-02
31;Unit Undang-Undang;PUU;2022-06-02;2022-06-02
32;Sekretariat Majlis Tindakan Ekonomi;MTEN;2022-06-02;2022-06-02
33;Unit Integriti;Integriti;2022-06-02;2022-06-02
