id;nama_jabatan;sgktn_jabatan;created_at;updated_at
1;Jabatan Perdana Menter;JPM;2022-06-03;2022-06-03
2;Kementerian Alam Sekitar dan Air;DOE;2022-06-03;2022-06-03
3;Kementerian Belia dan Sukan;KBS;2022-06-03;2022-06-03
4;Kementerian Dalam Negeri;KDN;2022-06-03;2022-06-03
5;Kementerian Kerja Raya;KKR;2022-06-03;2022-06-03
6;Kementerian Kesihatan;MOH;2022-06-03;2022-06-03
7;Kementerian Kewangan;MOF;2022-06-03;2022-06-03
8;Kementerian Komunikasi dan Multimedia;KKMM;2022-06-03;2022-06-03
9;Kementerian Luar Negeri;KLN;2022-06-03;2022-06-03
10;Kementerian Pelancongan, Seni dan Budaya;MOTAC;2022-06-03;2022-06-03
11;Kementerian Pembangunan Luar Bandar;KPLB;2022-06-03;2022-06-03
12;Kementerian Pembangunan Usahawan dan Koperasi;MEDAC;2022-06-03;2022-06-03
13;Kementerian Pembangunan Wanita, Keluarga dan Masyarakat;KPWKM;2022-06-03;2022-06-03
14;Kementerian Pendidikan;MOE;2022-06-03;2022-06-03
15;Kementerian Pengajian Tinggi;MOHE;2022-06-03;2022-06-03
16;Kementerian Pengangkutan;MOT;2022-06-03;2022-06-03
17;Kementerian Perdagangan Antarabangsa dan Industri;MITI;2022-06-03;2022-06-03
18;Kementerian Perdagangan Dalam Negeri dan Hal Ehwal Pengguna;KPDNHEP;2022-06-03;2022-06-03
19;Kementerian Perpaduan Negara;KPN;2022-06-03;2022-06-03
20;Kementerian Pertahanan;MINDEF;2022-06-03;2022-06-03
21;Kementerian Pertanian dan Industri Makanan;MOA;2022-06-03;2022-06-03
22;Kementerian Perumahan dan Kerajaan Tempatan;KPKT;2022-06-03;2022-06-03
23;Kementerian Perusahaan Perladangan dan Komoditi;MPIC;2022-06-03;2022-06-03
24;Kementerian Sains, Teknologi dan Inovasi;MOSTI;2022-06-03;2022-06-03
25;Kementerian Sumber Manusia;MOHR;2022-06-03;2022-06-03
26;Kementerian Tenaga dan Sumber Asli;KATS;2022-06-03;2022-06-03
27;Kementerian Wilayah Persekutuan;KWP;2022-06-03;2022-06-03
